Id,Schedule,Title,Type of Work,Company,Location,Pay,Status,State,City,Talent Type(s),Buyer Rating,Confirmed Start Time,Country,Distance,Estimated Total,Invoice ID,My Performance,Requests,Routes,Service Date,Shipments,Template,WO Rating,Zip,Schedule Note
17096279,05-14-2025 17:00 EDT,Router/Switch/Cradlepoint Upgrade,Networking,Nerd In Motion,TMO 406F,$360 ,Paid,VT,Essex Junction,,0,05-14-2025 17:00 EDT,US,7,$360 ,,,3,,05-14-2025 17:00 EDT,0,Router/Switch/Cradlepoint Upgrade,0,5452,
17061642,05-12-2025 08:00 EDT,Internet Caption Phone (VoIP) Installation and Training,POTS,ClearCaptions Inside Sales,"BURLINGTON, VT, 05401",$85 ,Approved,VT,BURLINGTON,,0,05-12-2025 08:00 EDT,US,4,$85 ,,,2,17,05-12-2025 08:00 EDT,0,VoIP Install and Training,0,5401,
17040928,05-10-2025 09:00 EDT,TECH ONSITE,Other Trades,Royal Communications,"South Burlington VT, VT, 05403",$280 ,Paid,VT,South Burlington VT,,0,05-10-2025 09:00 EDT,US,4,$280 ,,,0,,05-10-2025 09:00 EDT,0,,0,5403,
16992027,04-23-2025 09:00 EDT,Printer deployment,Printer,Peak Systems,"Burlington, VT, 05403",$200 ,Paid,VT,Burlington,,0,04-23-2025 09:00 EDT,US,4,$200 ,,,0,,04-23-2025 09:00 EDT,0,,0,5403,
16980054,04-18-2025 07:45 EDT,TECH ONSITE,Other Trades,Royal Communications,": 725 Community Dr, South Burlington VT, VT, 05403",$240 ,Paid,VT,": 725 Community Dr, South Burlington VT",,0,04-18-2025 07:45 EDT,US,4,$226.50 ,,,0,,04-18-2025 07:45 EDT,0,,0,5403,
16900808,04-07-2025 16:00 EDT,Internet Caption Phone (PSTN) Installation and Training,POTS,ClearCaptions Inside Sales,"SOUTH BURLINGTON, VT, 05403",$85 ,Paid,VT,SOUTH BURLINGTON,,0,04-07-2025 16:00 EDT,US,1,$85 ,,,2,142,04-07-2025 16:00 EDT,0,BLUE Installation / Training - (Standard),0,5403,
16517783,01-21-2025 08:00 EST,Day 3 Lead: Finish Equipment Install & Final Testing,Networking,Spencer Technologies,"Burlington, VT, 05401",$499.40 ,Paid,VT,Burlington,,0,01-21-2025 08:00 EST,US,4,$499.40 ,,,1,1,01-21-2025 08:00 EST,0,,0,5401,
16483078,01-14-2025 09:00 EST,Network UPS beeping,Low Voltage Testing,Intelligent Communication Solutions,LongHorn Steakhouse5204,$90 ,Paid,VT,Williston,,0,01-14-2025 09:00 EST,US,5,$90 ,,,2,,01-14-2025 09:00 EST,0,ICS_Template_1,0,54958221,
16403820,01-08-2025 09:00 EST,Assist Tech for FHS - Firehouse Subs - Install and Test Hardware,Point of Sale,NCR Voyix - Restaurants,"Williston, VT, 05495",$360 ,Paid,VT,Williston,,0,01-08-2025 09:00 EST,US,5,$153.90 ,,,2,27,01-08-2025 09:00 EST,0,FHS - Firehouse Subs Install,0,5495,
16429894,01-02-2025 16:00 EST,Fujifilm CX3240 Printer Service - Paper Jam Troubleshooting (No Parts),Printer,"Retail Imaging Management Group, Inc.",WG 11526,$100 ,Paid,VT,BURLINGTON,,0,01-02-2025 16:00 EST,US,2,$100 ,,,1,1,01-02-2025 16:00 EST,0,Walgreens Fuji Xerox CX3240 Printer Service - Paper Jam,0,5401,
